Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7
chr10_-_72032519_72032546	25	7	13	13	19	12	17
chr10_-_72318229_72318388	38	26	36	31	40	41	21
chr10_-_72318546_72318546	40	28	38	32	40	42	22
chr10_-_73280964_73281010	2321	459	1109	591	673	1307	394
chr10_-_73281011_73281036	2151	378	1016	544	548	1234	301
chr10_-_73281047_73281051	2810	442	1236	1195	670	1785	806
chr10_-_73281056_73281139	2371	482	1133	613	712	1326	428
chr10_-_73518269_73518280	25	22	7	13	27	10	48
chr10_-_73518772_73518795	12	11	10	11	15	8	25
chr10_-_73645669_73645756	28	46	49	30	58	26	47
chr10_-_73646010_73646024	18	47	42	37	12	26	27
chr10_-_73646031_73646188	27	45	47	28	58	25	46
chr10_-_73784661_73784707	25	23	20	29	18	17	19
chr10_-_73784871_73784993	39	24	26	31	32	27	38
chr10_-_73953699_73953752	55	56	58	50	30	57	38
chr10_-_74055824_74055857	56	54	63	54	32	62	38
chr10_-_74055859_74055891	55	56	58	50	30	57	38
chr10_-_74055893_74055954	55	56	58	50	30	57	38
chr10_-_74526596_74526627	87	46	278	771	35	737	23
chr10_-_74526662_74526890	91	49	287	796	35	735	24
chr10_-_74597711_74597752	22	25	43	22	26	38	35
chr10_-_74597772_74597808	22	25	43	22	26	38	35
chr10_-_74597822_74597862	22	25	43	23	26	38	35
chr10_-_74676969_74677105	14	459	101	57	26	26	23
chr10_-_74682247_74682460	35	83	129	54	25	37	16
chr10_-_74843730_74843793	86	193	201	76	23	58	28
chr10_-_74843795_74843808	170	249	368	104	70	147	53
chr10_-_74843813_74843855	153	215	331	86	70	127	48
chr10_-_74863303_74863375	1884	3036	3404	1833	4163	2830	405
chr10_-_74925653_74925700	47	11	66	30	68	70	45
chr10_-_74925724_74925752	190	155	105	99	85	242	56
chr10_-_74925753_74925796	39	31	48	29	33	54	35
chr10_-_75005421_75005438	30609	8518	11739	20363	15642	12996	29364
chr10_-_75071205_75071303	6	7	11	6	12	7	7
chr10_-_75071498_75071562	6	6	9	5	12	7	6
chr10_-_75080784_75080805	22	7	14	13	25	12	12
chr10_-_75085754_75085882	25	7	13	14	30	13	14
chr10_-_75127559_75127559	11	67	10	11	39	10	192
chr10_-_75160216_75160285	11	67	10	11	39	10	192
chr10_-_75241347_75241414	15	17	7	13	10	10	21
chr10_-_75241527_75241615	21	41	19	26	28	36	18
chr10_-_75304225_75304426	18	33	15	13	14	19	12
chr10_-_75580531_75580858	4755	2571	1986	2654	10658	2706	14738
chr10_-_76529253_76529253	11	13	13	11	18	10	84
chr10_-_76538859_76538981	10	14	11	10	16	9	81
chr10_-_79067210_79067252	8	5	14	8	8	7	6
chr10_-_79067296_79067388	9	6	13	10	10	8	9
chr10_-_79067400_79067425	7	5	13	9	8	7	6
chr10_-_79067476_79067508	16	6	20	15	16	12	12
chr10_-_79067552_79067586	11	8	13	11	11	9	11
chr10_-_79356285_79356532	50	15	134	45	33	68	22
chr10_-_79459296_79459345	11706	5564	5050	8980	10098	7413	22743
chr10_-_80875097_80875435	255	10	11	230	35	72	17
chr10_-_80990147_80990168	17	10	18	7	17	9	13
chr10_-_81310092_81310113	17	10	18	7	17	9	13
chr10_-_81698840_81698840	13	6	11	6	19	7	7
chr10_-_81955093_81955253	66	120	98	79	90	102	21
chr10_-_81955256_81955267	53	92	77	61	71	78	18
chr10_-_81955268_81955270	66	120	98	79	90	102	21
chr10_-_81955271_81955293	15	20	19	14	18	17	7
chr10_-_81955307_81955311	17	39	22	17	20	17	8
chr10_-_81955312_81955412	66	120	98	79	90	102	21
chr10_-_82039158_82039413	12	10	11	12	21	13	30
chr10_-_85991177_85991317	6	5	5	4	4	5	11
chr10_-_88271466_88271483	4	45	20	8	4	6	74
chr10_-_88271495_88271525	8	73	15	15	12	15	62
chr10_-_88707299_88707404	22	14	18	32	39	18	17
chr10_-_88843806_88843825	97	50	246	51	30	38	27
chr10_-_88844470_88844541	93	62	255	54	36	41	28
chr10_-_88844548_88844569	99	56	248	55	33	42	28
chr10_-_88844575_88844590	98	46	239	49	27	36	26
chr10_-_88844591_88844606	97	50	246	51	30	38	27
chr10_-_88844625_88844641	70	21	203	27	8	21	13
chr10_-_88844666_88844814	94	64	259	54	38	42	29
chr10_-_90332927_90333061	24	16	26	33	27	33	31
chr10_-_90702490_90702559	1132	19	82	2183	355	1842	1299
chr10_-_90740935_90741126	1131	19	76	2151	363	1830	1298
chr10_-_90957028_90957053	9	5	5	11	8	10	8
chr10_-_91001496_91001524	491	147	417	78	126	92	8
chr10_-_91001531_91001539	491	147	417	78	126	92	8
chr10_-_91001542_91001552	502	140	409	70	115	90	6
chr10_-_91001566_91001639	490	142	418	85	121	93	8
chr10_-_91092410_91092461	491	147	417	78	126	92	8
chr10_-_91285290_91285292	27397	16368	12002	29757	16913	18960	32296
chr10_-_91451102_91451192	19	100	33	22	34	36	93
chr10_-_92607397_92607456	13	8	10	12	18	9	11
chr10_-_92607650_92607777	13	8	10	12	18	9	10
chr10_-_92670764_92670828	18	6	7	21	9	8	8
chr10_-_92671005_92671011	20	6	8	23	10	9	8
chr10_-_93382735_93382759	95	6	34	87	16	68	18
chr10_-_93382837_93382839	95	6	34	87	16	68	18
chr10_-_93992982_93993017	12	7	9	12	12	10	9
chr10_-_94040779_94040854	12	7	9	12	12	10	9
chr10_-_94247450_94247497	13	27	24	16	12	20	93
chr10_-_94323701_94323807	15	18	31	19	11	22	128
chr10_-_94323808_94323826	11	21	25	14	9	17	115
chr10_-_94323827_94323867	15	36	22	17	16	22	72
chr10_-_95231933_95232144	256	7	505	170	18	340	9
chr10_-_95350949_95350987	1431	5	8	9	22	8	5
chr10_-_96112609_96112724	11	76	22	7	27	15	24
chr10_-_96819064_96819243	13	5	7	9	9	8	14
chr10_-_97040661_97040884	204	308	2169	858	664	679	32
chr10_-_97190885_97190926	23	7	10	13	19	12	12
chr10_-_97311084_97311174	20	5	10	11	23	10	11
chr10_-_97406357_97406498	28	252	100	67	39	141	28
chr10_-_97406554_97406589	27	270	99	77	38	143	27
chr10_-_97443560_97443713	19	21	29	18	29	29	21
chr10_-_97443889_97443889	20	20	30	17	34	30	24
chr10_-_98021144_98021322	8	170	10	8	14	6	6
chr10_-_98263434_98263672	11	5	8	9	12	8	10
chr10_-_98280299_98280356	205	177	300	222	191	470	60
chr10_-_98311813_98311888	151	137	262	162	195	339	57
chr10_-_98315090_98315173	205	177	300	222	191	470	60
chr10_-_98326435_98326563	149	164	192	228	156	332	50
chr10_-_98336584_98336741	151	137	262	162	195	339	57
chr10_-_98336783_98336844	136	119	243	140	177	304	48
chr10_-_98935369_98935560	11	10	10	10	16	12	11
chr10_-_98935570_98935601	9	9	8	9	13	10	10
chr10_-_98935652_98935699	15	12	11	13	21	10	13
chr10_-_99042348_99042380	9	26	9	11	10	8	27
chr10_-_99042381_99042417	9	26	9	11	10	8	27
chr10_-_99042419_99042439	9	30	9	12	11	8	31
chr10_-_99084417_99084469	8	18	7	10	7	8	8
chr10_-_99150977_99150986	9	9	15	13	23	12	7
chr10_-_99151003_99151128	12	23	19	16	28	15	12
chr10_-_99175685_99175791	15944	15936	6423	15069	11827	10016	26563
chr10_-_99195594_99195771	18	8	15	17	14	22	14
chr10_-_99248130_99248166	41	162	114	53	55	51	81
chr10_-_99248170_99248193	24	131	102	38	36	36	61
chr10_-_99248355_99248502	46	206	136	66	78	61	104
chr10_-_99383165_99383333	4	3	3	3	4	3	3
chr10_-_99383841_99383902	4	3	3	3	4	3	3
chr10_-_99436889_99437150	61	11	195	18	20	24	59
chr10_-_99521701_99521745	36	19	37	32	258	30	30
chr10_-_99780336_99780369	30	12	22	32	42	32	42
chr10_-_99780574_99780574	28	12	20	30	38	30	38
chr10_-_100196624_100196640	36	39	26	32	28	27	28
chr10_-_100196647_100196684	16	19	21	23	28	18	21
chr10_-_100196685_100196687	19	32	17	27	15	17	17
chr10_-_100196688_100196715	16	17	17	22	18	16	16
chr10_-_100985548_100985621	13	6	10	8	13	10	14
chr10_-_101180191_101180521	139	25	362	238	42	74	272
chr10_-_101370076_101370119	15	35	12	13	15	8	72
chr10_-_101370147_101370191	15	35	12	13	15	8	72
chr10_-_101370207_101370219	15	35	12	13	15	8	72
chr10_-_101481795_101481844	28	57	16	17	28	23	20
chr10_-_101481846_101481886	34	88	20	20	31	21	33
chr10_-_101482412_101482412	29	65	16	18	27	21	24
chr10_-_101680645_101680742	47	16	49	66	46	70	74
chr10_-_101759630_101759673	54	14	53	64	55	69	79
chr10_-_101831579_101831647	7	5	9	10	11	6	9
chr10_-_101935676_101935776	32	85	49	56	26	40	40
chr10_-_101935777_101935807	36	111	64	65	33	48	48
chr10_-_101979186_101979327	15	24	23	13	18	19	16
chr10_-_101979332_101979365	15	24	23	13	18	19	16
chr10_-_102017327_102017426	16	16	24	9	15	16	21
chr10_-_102080232_102080232	34	12	22	33	32	34	28
chr10_-_102269580_102269700	15	33	9	13	13	9	11
chr10_-_102279597_102279614	164	596	613	323	251	432	159
chr10_-_102279616_102279637	68	108	120	73	81	86	70
chr10_-_102780840_102780857	60	10	38	41	30	30	54
chr10_-_102780867_102780907	61	10	38	42	31	30	54
chr10_-_102978678_102978706	21	6	19	5	7	12	11
chr10_-_103337872_103337967	33	25	21	20	31	21	41
chr10_-_103337968_103338030	32	23	21	20	29	21	40
chr10_-_103444677_103444732	39	27	23	28	61	12	52
chr10_-_103444899_103445005	39	27	23	28	61	12	52
chr10_-_103525646_103525748	7	6	5	5	5	6	6
chr10_-_103533128_103533143	50	119	400	42	30	24	34
chr10_-_103533146_103533176	95	72	409	68	62	43	49
chr10_-_103567773_103567938	14	62	44	47	28	44	70
chr10_-_103568162_103568167	14	62	44	47	28	44	70
chr10_-_103568169_103568170	11	35	35	51	19	45	108
chr10_-_103568197_103568220	14	62	44	47	28	44	70
chr10_-_103589586_103589618	12	13	9	8	12	8	13
chr10_-_103593529_103593666	12	13	9	8	12	8	13
chr10_-_103805858_103805947	14	27	16	12	20	12	12
chr10_-_103864651_103864785	11	101	15	9	8	10	14
chr10_-_103869923_103870344	11	101	15	9	8	10	14
chr10_-_103991219_103991220	15	14	11	10	9	15	10
chr10_-_104158910_104159022	16	12	8	12	10	8	9
chr10_-_104168559_104168565	16	12	8	12	10	8	9
chr10_-_104168890_104168907	16	12	8	12	10	8	9
chr10_-_104169458_104169464	16	12	8	12	10	8	9
chr10_-_104182318_104182342	62	97	175	66	60	107	67
chr10_-_104182343_104182412	62	97	175	66	60	107	67
chr10_-_104201234_104201289	11	5	9	7	10	11	17
chr10_-_104252394_104252501	40	61	128	175	25	122	56
chr10_-_104463947_104464228	36	29	34	42	34	43	46
chr10_-_104587069_104587279	14	7	11	5	16	8	14
chr10_-_104943000_104943074	37	103	43	28	82	56	61
chr10_-_105202012_105202096	80	14	16	24	20	19	14
chr10_-_105202139_105202167	84	15	16	25	22	20	15
chr10_-_105442868_105443013	2020	29	545	1897	91	1285	709
chr10_-_105604942_105605578	26	8	22	21	18	24	19
chr10_-_105667871_105667968	50	29	305	61	71	40	84
chr10_-_105667976_105668034	40	33	290	51	55	33	72
chr10_-_105835525_105835573	11	11	148	15	12	12	11
chr10_-_105835609_105835630	5	6	157	8	5	6	6
chr10_-_105982052_105982116	14	8	14	14	20	15	13
chr10_-_111673191_111673207	82	53	117	94	110	123	41
chr10_-_111673235_111673300	97	62	136	101	127	138	49
chr10_-_112054497_112054669	19	77	57	28	19	44	23
chr10_-_112054679_112054701	19	77	57	28	19	44	23
chr10_-_112668679_112668694	29	42	46	37	37	43	118
chr10_-_112668892_112669113	25	36	38	31	35	35	96
chr10_-_114196630_114196726	47	159	77	43	81	71	39
chr10_-_115413630_115413794	16	6	12	16	15	14	15
chr10_-_115603848_115603964	27	19	15	19	25	16	22
chr10_-_115923874_115923971	10	15	8	7	9	7	16
chr10_-_115924353_115924353	7	11	6	6	8	6	11
chr10_-_116276560_116276624	9	34	10	12	6	8	9
chr10_-_116276651_116276688	28	84	33	17	39	10	35
chr10_-_116382089_116382091	7	30	5	6	6	6	5
chr10_-_116408046_116408047	35	100	41	18	56	10	46
chr10_-_116434102_116434205	35	100	41	18	56	10	46
chr10_-_116434364_116434403	35	100	41	18	56	10	46
chr10_-_116517945_116518051	2691	4843	1027	1078	8206	1130	7725
chr10_-_118021532_118021808	8	5	7	7	9	6	6
chr10_-_118022707_118022785	8	5	8	7	9	6	6
chr10_-_118022965_118023151	8	5	7	7	9	6	6
chr10_-_118419459_118419470	1769	542	615	1648	213	1092	2313
chr10_-_118491971_118492166	22	8	10	12	24	14	13
chr10_-_118670968_118670997	19	9	19	15	82	17	48
chr10_-_118754549_118754695	20	9	19	15	76	18	44
chr10_-_118754717_118754912	19	9	19	15	82	17	48
chr10_-_118755077_118755128	19	9	19	15	82	17	48
chr10_-_119291740_119292073	5297	4265	2455	2290	9360	2826	12685
chr10_-_119795663_119796405	31	20	14	17	18	19	20
chr10_-_120091795_120091834	6	4	5	6	6	5	5
chr10_-_120504659_120504756	3983	499	909	5056	56	2557	1868
chr10_-_120830231_120830285	218	615	302	229	176	331	81
chr10_-_120830286_120830292	215	598	355	213	192	360	77
chr10_-_120830301_120830346	215	598	355	213	192	360	77
chr10_-_120928266_120928321	206	847	523	192	65	227	40
chr10_-_120928327_120928347	201	1109	642	246	76	238	48
chr10_-_121286034_121286034	18	48	186	51	22	76	9
chr10_-_121292139_121292222	19	49	222	61	21	89	9
chr10_-_121345968_121346228	31	160	93	83	63	65	77
chr10_-_121346464_121346516	17	33	29	26	23	21	24
chr10_-_121346517_121346567	12	27	14	18	22	13	14
chr10_-_121622255_121622405	18	40	19	13	19	15	12
chr10_-_123343320_123343470	16	8	15	13	18	12	16
chr10_-_123343761_123343761	13	7	15	12	21	11	15
chr10_-_123346148_123346148	15	7	18	14	27	12	17
chr10_-_123347493_123348004	15	8	13	16	18	15	14
chr10_-_123724251_123724347	23	74	58	33	50	21	17
chr10_-_123724631_123724692	23	45	47	34	37	22	15
chr10_-_123724698_123724802	22	67	55	30	53	21	16
chr10_-_124595680_124595680	8	4	5	7	7677	5	7
chr10_-_124629067_124629146	8	4	5	7	7677	5	7
chr10_-_124703683_124703908	11	6	8	11	9	14	21
chr10_-_124758178_124758344	49	11	47	41	53	38	46
chr10_-_125841840_125841938	12	34	37	16	27	14	12
chr10_-_125843092_125843195	12	34	37	16	27	14	12
chr10_-_126097444_126097482	300	321	1636	264	100	592	169
chr10_-_126097483_126097534	308	332	1682	270	101	599	177
chr10_-_126422608_126422661	29	36	19	18	33	12	33
chr10_-_126422883_126422919	29	36	19	18	33	12	33
chr10_-_126706442_126706442	30	181	171	48	58	75	48
chr10_-_126839000_126839033	58	323	361	133	122	143	112
chr10_-_126839056_126839157	33	211	214	57	69	88	56
chr10_-_126839546_126839621	27	153	138	37	47	65	40
chr10_-_127397990_127398058	435	1051	132	443	952	162	703
chr10_-_127501683_127501777	108	78	26	38	29	64	31
chr10_-_127501785_127501820	98	78	25	37	29	62	31
chr10_-_127501822_127501830	98	78	25	37	29	62	31
chr10_-_127559841_127559873	58	65	276	73	88	47	209
chr10_-_127574957_127575084	131	90	369	119	191	59	322
chr10_-_128067001_128067041	30	8	15	19	31	25	17
chr10_-_128067052_128067056	21	12	35	31	107	22	46
chr10_-_128067062_128067116	24	7	8	10	10	22	9
chr10_-_129814457_129814580	14	43	14	39	14	12	13
chr10_-_131799051_131799091	1203	135	331	1204	52	851	302
chr10_-_133645301_133645432	117	17	269	495	355	596	21
chr10_-_133645437_133645481	163	20	371	541	784	737	20
chr10_-_134940315_134940396	10	23	26	13	11	11	10
chr10_-_134972328_134972371	17	30	23	29	22	26	24
chr10_-_134972540_134972633	16	28	22	27	22	24	21
chr10_-_135000358_135000426	8	4	6	4	5	8	10
chr10_-_135000464_135000470	8	4	6	4	5	8	10
chr10_-_135036805_135036926	623	402	387	263	147	393	172
chr11_+_198529_198821	25	80	88	46	24	62	73
chr11_+_226807_226807	34	93	154	76	39	87	40
chr11_+_226965_227049	35	92	148	76	39	86	40
chr11_+_279113_279171	14	14	10	11	684	12	8
chr11_+_298106_298235	1133	276	529	1591	1510	1069	143
chr11_+_303852_304170	252	57	151	78	626	56	34
chr11_+_384199_384225	15	8	74	19	22	14	13
chr11_+_384238_384291	12	5	53	13	16	12	10
chr11_+_440260_440333	14	18	21	14	10	16	51
chr11_+_440346_440396	14	18	21	14	10	16	51
chr11_+_550868_551085	14	25	33	26	22	26	11
chr11_+_551449_551449	13	26	33	23	25	23	10
chr11_+_566482_566529	75	17	28	57	37	45	37
chr11_+_627268_627304	6	7	8	5	6	7	7
chr11_+_685615_685830	14	23	10	9	30	10	10
chr11_+_696103_696235	8	11	99	7	16	7	7
chr11_+_712282_712322	6	11	80	5	10	5	4
chr11_+_737424_737427	461	1115	682	290	103	320	21
chr11_+_737428_737440	461	1115	682	290	103	320	21
chr11_+_737449_737483	398	975	632	258	97	281	21
chr11_+_799918_799980	6117	5715	4983	5624	5489	5923	2902
chr11_+_799985_800004	5375	6104	4649	5452	5163	5641	2656
chr11_+_808836_808964	526	66	25	41	36	43	65
chr11_+_809563_809646	618	81	27	45	39	49	78
chr11_+_809696_809718	294	14	10	37	7	20	18
chr11_+_822909_822963	414	24	412	435	166	216	27
chr11_+_822965_823005	395	30	434	433	196	233	36
chr11_+_823007_823012	390	26	416	417	178	217	32
chr11_+_832821_832993	85	61	134	157	32	127	21
chr11_+_834062_834104	84	63	134	153	33	127	21
chr11_+_834111_834158	84	63	134	153	33	127	21
chr11_+_834445_834445	84	63	134	153	33	127	21
chr11_+_915795_915869	15	23	17	33	23	24	27
chr11_+_915874_915898	31	55	35	85	70	77	162
chr11_+_915899_915953	34	42	51	85	46	75	134
chr11_+_916021_916064	20	25	22	43	25	34	42
chr11_+_1064869_1064876	18	6	16	20	20	24	29
chr11_+_1141578_1141594	113	3	70	290	4	115	4
chr11_+_1170045_1170070	10	8	8	7	15	9	9
chr11_+_1200868_1200877	17	6	14	14	37	13	11
chr11_+_1367665_1367877	14	8	8	17	19	8	26
chr11_+_1420250_1420335	14	8	8	17	19	8	25
chr11_+_1675000_1675028	52	2	46	134	4	88	88
chr11_+_1816808_1816808	6	8	5	7	7	6	5
chr11_+_1817294_1817294	6	8	5	7	7	6	5
chr11_+_1818007_1818007	6	8	5	7	7	6	5
chr11_+_1830763_1830950	74	130	23	45	59	43	33
chr11_+_1846478_1846535	78	146	22	42	64	44	32
chr11_+_1848674_1848729	78	146	22	42	64	44	32
chr11_+_1897374_1897553	22	13	17	20	19	13	25
chr11_+_1925075_1925159	30	231	495	55	71	98	48
chr11_+_1925162_1925168	29	248	522	53	77	103	50
chr11_+_2279812_2279842	33	99	17	15	16	16	21
chr11_+_2279932_2279992	42	65	20	19	17	19	25
chr11_+_2355099_2355112	1216	362	552	938	764	1002	515
chr11_+_2355119_2355355	1659	512	802	1328	1266	1302	887
chr11_+_2378559_2378586	10	22	15	17	10	14	53
chr11_+_2380095_2380098	18	28	20	30	19	25	69
chr11_+_2422747_2422904	30	12	20	26	58	20	16
chr11_+_2439241_2439268	30	12	21	28	62	22	17
chr11_+_2877486_2877557	18	13	47	22	27	21	36
chr11_+_2880063_2880094	18	13	47	22	27	21	36
chr11_+_2880104_2880120	14	16	31	20	20	16	24
chr11_+_2880135_2880225	18	13	47	22	27	21	36
chr11_+_2881080_2881158	21	13	40	27	34	24	35
chr11_+_3622933_3622960	11	7	7	7	6	6	10
chr11_+_3775529_3775794	26	36	33	29	46	24	24
chr11_+_3786341_3786399	26	36	33	29	46	24	24
chr11_+_3833495_3833516	10	14	9	13	9	7	9
chr11_+_4072499_4072632	18	228	143	122	31	48	28
chr11_+_4072635_4072650	25	258	196	111	24	56	28
chr11_+_4072653_4072818	21	196	135	104	25	45	32
chr11_+_4965996_4966015	6	8	6	4	9	5	6
chr11_+_5574440_5574611	10	34	29	17	19	11	22
chr11_+_5597749_5597749	10	34	23	17	15	12	16
chr11_+_5602782_5602822	10	34	23	17	15	12	16
chr11_+_5667494_5667687	93	183	49	19	39	161	12
chr11_+_6237541_6237734	20	7	16	10	31	14	20
chr11_+_6368213_6368387	24	8	12	50	14	36	14
chr11_+_6459183_6459451	8	16	17	12	7	11	18
chr11_+_6581482_6581573	120	158	142	239	65	359	64
chr11_+_6581576_6581630	129	74	142	206	73	372	69
chr11_+_6581782_6581782	120	158	142	239	65	359	64
chr11_+_6904167_6904269	14	11	9	18	13	10	13
chr11_+_7066740_7066926	16	6	11	11	15	10	209
chr11_+_7463175_7463412	18	5	7	6	6	7	6
chr11_+_7491576_7491782	11	7	6	12	11	7	55
chr11_+_7491789_7491850	11	6	6	11	11	6	47
chr11_+_7574992_7574997	11	5	10	9	12	10	35
chr11_+_7965442_7965475	770	2169	1413	1988	1383	1948	1251
chr11_+_7997366_7997396	8	4	6	8	7	9	10
chr11_+_8016755_8016755	27	8	33	28	23	21	27
chr11_+_8059267_8059484	22	7	25	23	19	18	23
chr11_+_8660570_8660570	5967	8046	10542	8943	7940	10963	2187
chr11_+_8660913_8660920	6321	8472	11055	9384	8463	11446	2465
chr11_+_8889276_8889377	22	14	29	39	18	23	27
chr11_+_8889465_8889572	18	19	34	40	13	21	25
chr11_+_9362699_9362758	59	136	103	72	60	101	22
chr11_+_9439087_9439152	8	16	11	7	8	8	7
chr11_+_9551759_9551820	18	51	19	26	16	19	45
chr11_+_9551885_9551917	17	72	19	26	17	19	42
chr11_+_9552005_9552013	19	63	20	28	18	21	45
chr11_+_9552027_9552059	14	17	11	18	8	10	45
chr11_+_9552809_9552809	19	63	20	28	18	21	45
chr11_+_9642182_9642199	20889	14167	8801	19792	19609	12922	35893
chr11_+_9642200_9642224	23	26	24	51	25	62	9
chr11_+_9642226_9642228	22	41	45	76	30	105	11
chr11_+_9642229_9642335	24	15	23	27	28	31	15
chr11_+_9736408_9736469	13907	5788	5103	9395	9724	7593	23425
chr11_+_10283171_10283267	1095	19	239	180	39	251	13
chr11_+_10428443_10428443	18	26	13	10	14	21	14
chr11_+_10428799_10429064	15	18	10	9	11	16	11
chr11_+_10433241_10433550	13	28	11	8	11	16	11
chr11_+_10434056_10434308	17	16	11	9	13	17	13
chr11_+_10439253_10439262	18	27	14	10	13	22	13
chr11_+_10480891_10481018	16	205	14	12	6	21	6
chr11_+_10729357_10729449	37	180	117	30	37	74	143
chr11_+_11819531_11819654	51	140	48	53	60	73	69
chr11_+_11820096_11820192	57	154	46	52	59	79	71
chr11_+_12088639_12088773	26	27	62	153	24	144	68
chr11_+_12355600_12355770	85	7	25	28	32	37	12
chr11_+_12652427_12652652	20	8	15	12	22	7	15
chr11_+_13255836_13255901	29	12	16	16	22	13	16
chr11_+_13255905_13255912	15	9	9	10	12	7	10
chr11_+_13255913_13255921	29	12	16	16	22	13	16
chr11_+_13255925_13255943	22	11	13	14	17	10	13
chr11_+_13255948_13255951	29	12	16	16	22	13	16
chr11_+_13255952_13255965	29	12	16	16	22	13	16
chr11_+_13255967_13256096	29	12	16	16	22	13	16
chr11_+_13940489_13940596	44	10	11	12	15	10	10
chr11_+_13940715_13941003	53	8	10	10	15	9	10
chr11_+_14621844_14621882	43	10	14	16	21	13	25
chr11_+_14621884_14621911	26	18	13	16	20	9	22
chr11_+_14621914_14621969	26	18	13	16	20	9	22
chr11_+_14621972_14622749	26	18	13	16	20	9	22
chr11_+_14883118_14883133	10	9	11	11	19	9	11
chr11_+_15051683_15051721	9	8	10	11	16	8	10
chr11_+_16716723_16716749	222	397	464	248	175	351	205
chr11_+_16716751_16716970	222	416	494	288	166	385	194
chr11_+_17254854_17254925	101	955	43	132	371	331	323
chr11_+_17289030_17289089	91	1064	46	173	362	318	351
chr11_+_17329714_17330121	27831	7096	11730	15812	12867	7983	28805
chr11_+_17697685_17697905	94	28	60	80	66	56	47
chr11_+_17714070_17714121	24	10	19	23	15	9	18
chr11_+_18244383_18244387	147	10	144	22	33	14	11
chr11_+_18300370_18300492	15	43	33	17	13	16	36
chr11_+_18300689_18300824	16	43	35	20	14	17	41
chr11_+_18372493_18372681	6157	2870	5916	8266	1618	7852	1254
chr11_+_18372682_18372686	6213	2846	5951	8308	1599	7910	1265
chr11_+_18372687_18372688	6157	2870	5916	8266	1618	7852	1254
chr11_+_18372689_18372706	6157	2870	5916	8266	1618	7852	1254
chr11_+_18372708_18372735	6165	2857	5916	8256	1615	7848	1254
chr11_+_18374388_18374536	6919	2725	6360	8843	1768	8662	1401
chr11_+_18390421_18390506	21	12	35	38	13	38	3060
chr11_+_19095215_19095372	9	33	26	17	21	13	43
chr11_+_19328846_19328937	14	7	16	12	28	11	8
chr11_+_19691397_19691487	14	7	16	12	28	11	8
chr11_+_20001130_20001211	14	7	16	12	28	11	8
chr11_+_20341806_20341831	26	22	134	33	61	51	25
chr11_+_20341835_20341880	23	18	123	30	47	47	23
chr11_+_20341900_20341978	23	23	113	30	53	45	23
chr11_+_20342262_20342359	14	10	23	14	19	15	12
chr11_+_20365651_20365733	14	32	48	9	15	10	11
chr11_+_20365788_20365885	14	32	48	9	15	10	11
chr11_+_20577521_20577526	4	4	4	4	3	4	3
chr11_+_20647692_20647845	9	6	11	15	12	13	12
chr11_+_22316242_22316242	8	7	7	7	8	7	7
chr11_+_22644732_22644736	24	7	18	18	28	14	15
chr11_+_22646229_22646229	21	7	17	16	27	13	14
chr11_+_22652894_22652930	16	6	13	13	18	10	11
chr11_+_24475091_24475335	21	10	28	26	25	21	27
chr11_+_26310253_26310359	12	6	9	11	12	11	10
chr11_+_27019084_27019084	7	6	10	6	10	6	7
chr11_+_27484952_27484978	12988	17320	5729	10999	14193	7720	32819
chr11_+_28086373_28086536	23268	24960	9648	23482	18678	16388	36577
chr11_+_28088406_28088452	23268	24960	9648	23482	18678	16388	36577
chr11_+_30209138_30209138	12	8	13	12	9	12	7
chr11_+_31347947_31348009	17	38	17	15	21	18	16
chr11_+_31487872_31487912	17	15	25	13	15	19	19
chr11_+_32068990_32069117	457	134	294	669	104	1015	26
chr11_+_32069183_32069368	245	45	104	256	64	348	24
chr11_+_32561913_32561920	193	431	951	345	480	613	223
chr11_+_32561931_32562018	76	101	178	97	151	130	79
chr11_+_32808045_32808208	23	14	18	18	21	17	21
chr11_+_32870935_32871367	7	7	6	11	7	14	8
chr11_+_33017538_33017779	20	11	28	26	22	24	19
chr11_+_33017867_33017930	20	11	28	26	22	24	19
chr11_+_33018136_33018152	20	11	28	26	22	24	19
chr11_+_33235743_33235980	13	5	8	10	9	8	15
chr11_+_33236435_33236455	12	4	8	10	8	7	15
chr11_+_33319680_33319760	13	4	8	8	8	7	17
chr11_+_33520348_33520452	12	10	10	13	13	13	11
chr11_+_34029764_34029814	177	254	368	320	32	262	612
chr11_+_34030465_34030495	56	187	133	247	6	105	397
chr11_+_34030500_34030526	194	260	400	326	36	283	634
chr11_+_34030527_34030700	113	159	186	320	20	206	504
chr11_+_34083686_34083781	21	351	111	47	25	35	66
chr11_+_34083784_34083869	27	332	116	47	29	36	59
chr11_+_34416997_34417104	507	1811	30	31	102	29	8
chr11_+_34417109_34417142	270	870	16	25	24	17	5
chr11_+_34599163_34599215	8	5	32	7	9	7	6
chr11_+_34599227_34599257	8	5	32	7	9	7	6
chr11_+_34894252_34894252	38	109	75	18	24	26	90
chr11_+_34894688_34894778	34	93	66	17	19	24	75
chr11_+_35116961_35116992	223	163	706	390	230	482	9
chr11_+_35117226_35117241	159	96	544	326	105	348	14
chr11_+_35117242_35117379	116	65	505	216	79	217	11
chr11_+_35117391_35117398	159	96	544	326	105	348	14
chr11_+_35117408_35117464	113	63	382	217	65	208	10
chr11_+_35154775_35154801	170	105	688	375	121	427	14
chr11_+_35596310_35596630	9	14	77	20	11	37	8
